TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
EGR3	1.241	1.072e-01	1.762	0.483	0.197	3.419e-02
CNOT3	1.707	4.395e-02	1.135	0.483	0.198	3.497e-02
SPIB	1.315	9.421e-02	1.954	0.468	0.198	3.497e-02
ZBTB6	1.891	2.934e-02	1.527	0.468	0.198	3.517e-02
ZBTB42	1.231	1.091e-01	1.764	0.482	0.199	3.556e-02
ZNF257	1.196	1.158e-01	1.859	0.478	0.200	3.576e-02
PRDM10	1.476	6.996e-02	1.915	0.462	0.201	3.637e-02
ZNF362	1.419	7.798e-02	2.135	0.458	0.202	3.698e-02
ZNF506	1.066	1.431e-01	2.420	0.463	0.202	3.698e-02
ZSCAN16	1.077	1.407e-01	2.053	0.475	0.203	3.780e-02
SATB1	1.294	9.789e-02	2.589	0.451	0.205	3.884e-02
ZNF17	1.024	1.530e-01	2.797	0.459	0.206	3.927e-02
ZNF341	1.903	2.855e-02	1.016	0.477	0.207	3.970e-02
TET3	1.501	6.672e-02	0.842	0.489	0.210	4.143e-02
ZNF28	1.136	1.280e-01	1.871	0.472	0.211	4.255e-02
ZNF770	1.051	1.466e-01	2.246	0.462	0.215	4.483e-02
ARID3A	1.306	9.577e-02	1.899	0.460	0.216	4.529e-02
EMX1	1.842	3.274e-02	1.034	0.469	0.216	4.529e-02
CHAT	1.225	1.103e-01	2.522	0.451	0.217	4.600e-02
FLI1	0.986	1.621e-01	0.858	0.529	0.220	4.816e-02
IKZF2	1.459	7.232e-02	1.579	0.461	0.223	4.964e-02
ZNF490	0.962	1.680e-01	2.662	0.453	0.226	5.165e-02
MAZ	2.019	2.175e-02	0.448	0.481	0.227	5.242e-02
CBX3	0.691	2.449e-01	2.084	0.485	0.228	5.320e-02
KLF15	1.985	2.355e-02	0.489	0.478	0.229	5.372e-02
KDM1B	0.963	1.677e-01	2.537	0.453	0.229	5.398e-02
ZNF563	0.990	1.611e-01	2.364	0.456	0.230	5.451e-02
NR2F6	1.421	7.768e-02	2.303	0.443	0.230	5.504e-02
ZNF740	1.515	6.486e-02	1.190	0.463	0.231	5.531e-02
KDM4A	1.607	5.401e-02	0.793	0.472	0.232	5.638e-02
HOXA9	0.919	1.791e-01	1.597	0.484	0.233	5.693e-02
WT1	1.417	7.824e-02	1.565	0.458	0.234	5.747e-02
ZNF429	0.923	1.779e-01	2.841	0.451	0.234	5.775e-02
ZNF320	1.341	9.001e-02	2.177	0.445	0.235	5.830e-02
USF2	0.885	1.881e-01	0.699	0.559	0.237	5.969e-02
E2F6	1.193	1.164e-01	-0.021	0.591	0.237	5.998e-02
WDR5	1.545	6.123e-02	0.092	0.499	0.238	6.083e-02
ZNF436	1.026	1.524e-01	1.947	0.459	0.239	6.140e-02
ESCO2	1.049	1.470e-01	1.798	0.462	0.239	6.168e-02
GATA1	1.642	5.030e-02	1.421	0.453	0.240	6.197e-02
ICE1	1.300	9.676e-02	1.840	0.451	0.241	6.284e-02
RBL1	1.059	1.449e-01	1.647	0.463	0.242	6.401e-02
ZNF778	1.033	1.508e-01	1.859	0.459	0.242	6.401e-02
CDX2	0.751	2.263e-01	1.045	0.507	0.245	6.610e-02
ZEB2	1.537	6.216e-02	1.764	0.444	0.247	6.761e-02
HEXIM1	1.308	9.536e-02	0.732	0.477	0.247	6.792e-02
RING1	0.964	1.676e-01	1.674	0.468	0.247	6.822e-02
TCF12	0.325	3.727e-01	1.018	0.654	0.247	6.822e-02
LARP7	0.750	2.266e-01	1.504	0.488	0.248	6.853e-02
TFAP2A	0.802	2.112e-01	0.787	0.521	0.249	6.915e-02
KDM5B	1.595	5.530e-02	0.633	0.466	0.250	7.040e-02
LEF1	0.710	2.387e-01	0.276	0.773	0.251	7.103e-02
ZNF549	0.927	1.770e-01	2.333	0.451	0.251	7.134e-02
ZNF519	1.173	1.205e-01	0.830	0.476	0.253	7.262e-02
TAL1	1.236	1.082e-01	1.252	0.460	0.253	7.326e-02
SP7	1.309	9.528e-02	1.487	0.452	0.254	7.391e-02
AGO1	1.167	1.216e-01	1.486	0.457	0.256	7.587e-02
ZFP2	1.343	8.969e-02	1.030	0.458	0.257	7.620e-02
MBD1	1.463	7.172e-02	1.046	0.453	0.257	7.653e-02
ZNF134	0.870	1.922e-01	2.582	0.446	0.259	7.854e-02
ZNF695	1.046	1.478e-01	1.355	0.461	0.264	8.266e-02
ZNF133	0.891	1.863e-01	2.347	0.448	0.265	8.371e-02
ING5	0.821	2.059e-01	2.667	0.443	0.268	8.620e-02
ZNF664	1.144	1.263e-01	1.794	0.445	0.268	8.656e-02
MYBL2	0.931	1.760e-01	1.923	0.451	0.268	8.692e-02
PATZ1	1.595	5.536e-02	0.340	0.464	0.269	8.728e-02
NFATC3	0.977	1.642e-01	1.617	0.455	0.270	8.874e-02
AR	0.878	1.899e-01	1.186	0.475	0.271	8.911e-02
ZNF143	1.045	1.480e-01	-0.238	0.578	0.272	9.058e-02
NFIC	0.801	2.117e-01	1.492	0.470	0.272	9.096e-02
CHD2	0.833	2.023e-01	-0.043	0.606	0.273	9.133e-02
ZNF600	1.271	1.019e-01	1.321	0.450	0.273	9.133e-02
ZKSCAN5	1.003	1.579e-01	1.450	0.457	0.275	9.321e-02
ZNF169	0.894	1.857e-01	2.078	0.449	0.275	9.321e-02
ZNF75D	0.916	1.798e-01	2.122	0.446	0.275	9.321e-02
L3MBTL2	1.107	1.341e-01	1.813	0.442	0.277	9.550e-02
MYC	1.572	5.803e-02	-0.758	0.566	0.278	9.627e-02
PKNOX1	0.959	1.687e-01	2.223	0.440	0.278	9.665e-02
MBD4	0.898	1.846e-01	1.929	0.449	0.279	9.782e-02
MITF	0.876	1.905e-01	1.288	0.465	0.281	9.979e-02
MYF5	0.940	1.737e-01	1.620	0.452	0.282	1.006e-01
FOXA1	-0.038	5.151e-01	0.992	0.596	0.288	1.071e-01
HOXB13	1.057	1.452e-01	1.497	0.445	0.289	1.083e-01
ZNF366	1.020	1.539e-01	1.119	0.454	0.289	1.083e-01
CEBPB	0.204	4.191e-01	0.495	0.608	0.289	1.088e-01
ZNF273	1.039	1.494e-01	0.796	0.460	0.289	1.088e-01
ZNF674	0.991	1.609e-01	1.022	0.456	0.291	1.104e-01
PBX3	0.458	3.235e-01	0.753	0.500	0.291	1.109e-01
ZNF528	0.896	1.852e-01	1.762	0.449	0.291	1.109e-01
HNF4G	1.040	1.491e-01	1.151	0.451	0.293	1.130e-01
ZNF44	0.894	1.856e-01	1.719	0.449	0.294	1.139e-01
ZNF808	0.789	2.150e-01	2.235	0.441	0.294	1.143e-01
ZNF610	1.249	1.059e-01	0.058	0.473	0.295	1.152e-01
BTAF1	0.921	1.785e-01	1.506	0.451	0.295	1.160e-01
ZNF786	0.981	1.632e-01	0.992	0.455	0.296	1.169e-01
UHRF2	1.030	1.515e-01	0.651	0.459	0.299	1.200e-01
EGR2	0.966	1.670e-01	0.357	0.473	0.300	1.218e-01
ZNF350	0.893	1.858e-01	1.600	0.449	0.300	1.218e-01
ZNF554	0.890	1.867e-01	1.644	0.448	0.301	1.227e-01
ZNF284	0.760	2.237e-01	2.171	0.439	0.303	1.255e-01
DACOR1	0.699	2.422e-01	2.523	0.436	0.304	1.269e-01
ATF3	0.547	2.923e-01	0.165	0.516	0.305	1.278e-01
CBX2	0.907	1.822e-01	1.431	0.449	0.305	1.278e-01
ZNF512	0.814	2.079e-01	1.951	0.440	0.308	1.311e-01
FOSL1	0.475	3.175e-01	0.451	0.498	0.308	1.316e-01
SMAD4	0.100	4.601e-01	0.312	0.606	0.308	1.316e-01
ZMIZ1	1.021	1.537e-01	1.226	0.445	0.308	1.316e-01
ZSCAN20	1.092	1.373e-01	1.236	0.441	0.308	1.316e-01
NR2F2	0.367	3.568e-01	0.540	0.498	0.309	1.325e-01
ICE2	0.887	1.877e-01	1.452	0.448	0.313	1.374e-01
ZNF92	0.794	2.136e-01	1.815	0.442	0.314	1.393e-01
DROSHA	1.105	1.346e-01	0.521	0.451	0.315	1.403e-01
ZNF692	1.114	1.327e-01	0.865	0.444	0.315	1.403e-01
TBL1X	0.951	1.707e-01	0.756	0.453	0.317	1.433e-01
GTF2F1	0.688	2.457e-01	-0.270	0.538	0.321	1.490e-01
EZH2	0.384	3.505e-01	0.374	0.493	0.322	1.505e-01
MBD2	0.638	2.617e-01	-0.169	0.519	0.323	1.510e-01
ZBTB8A	1.238	1.079e-01	0.446	0.447	0.323	1.516e-01
SCML2	1.048	1.474e-01	0.902	0.442	0.324	1.537e-01
ZNF441	0.952	1.706e-01	0.548	0.453	0.326	1.558e-01
CBFA2T2	0.758	2.243e-01	1.694	0.439	0.329	1.595e-01
HNF4A	0.896	1.852e-01	0.640	0.453	0.329	1.601e-01
RFX5	0.496	3.099e-01	-0.125	0.514	0.330	1.623e-01
HMBOX1	0.706	2.402e-01	1.847	0.436	0.332	1.650e-01
ZNF682	0.946	1.721e-01	0.866	0.444	0.333	1.661e-01
BANP	0.774	2.196e-01	1.581	0.438	0.337	1.723e-01
NFIA	0.870	1.923e-01	1.561	0.436	0.337	1.723e-01
TRIM25	0.482	3.150e-01	0.056	0.490	0.337	1.723e-01
ZNF423	1.144	1.263e-01	0.469	0.442	0.338	1.735e-01
ZNF394	1.004	1.577e-01	0.872	0.438	0.342	1.792e-01
NFYB	0.781	2.173e-01	0.239	0.463	0.343	1.816e-01
YAP1	1.029	1.517e-01	0.801	0.437	0.345	1.851e-01
ZNF780A	0.607	2.718e-01	1.994	0.432	0.345	1.851e-01
CHAMP1	0.921	1.784e-01	1.244	0.434	0.347	1.887e-01
CEBPD	0.928	1.767e-01	1.005	0.436	0.348	1.893e-01
KDM1A	-0.184	5.729e-01	0.533	0.501	0.348	1.893e-01
CTBP2	0.082	4.675e-01	-0.225	0.604	0.348	1.899e-01
EED	0.079	4.687e-01	0.893	0.475	0.348	1.899e-01
HDAC2	0.217	4.143e-01	-0.448	0.660	0.348	1.899e-01
RBBP5	0.550	2.912e-01	-0.659	0.580	0.349	1.906e-01
ZNF335	0.992	1.605e-01	0.590	0.440	0.350	1.930e-01
E2F1	1.627	5.185e-02	-0.852	0.468	0.351	1.948e-01
SP2	1.410	7.924e-02	-0.200	0.448	0.353	1.985e-01
E2F5	0.899	1.844e-01	0.999	0.436	0.354	1.998e-01
NKX2-1	0.495	3.104e-01	0.623	0.458	0.354	1.998e-01
GLIS2	1.123	1.307e-01	0.182	0.443	0.355	2.016e-01
ASXL1	0.924	1.778e-01	0.205	0.451	0.358	2.061e-01
LHX2	0.068	4.728e-01	0.462	0.484	0.359	2.080e-01
HNF1B	0.732	2.322e-01	1.132	0.438	0.360	2.099e-01
ZNF189	0.866	1.931e-01	0.493	0.446	0.360	2.105e-01
SMARCB1	0.496	3.099e-01	-0.402	0.498	0.362	2.131e-01
H2AZ	0.581	2.806e-01	-1.005	0.612	0.364	2.163e-01
TEAD2	0.807	2.098e-01	1.385	0.431	0.364	2.170e-01
ZNF26	0.568	2.850e-01	1.757	0.430	0.365	2.176e-01
NFE2L2	0.287	3.870e-01	0.082	0.483	0.366	2.202e-01
MYH11	0.899	1.842e-01	0.100	0.451	0.368	2.235e-01
ZNF18	0.684	2.469e-01	0.204	0.457	0.368	2.235e-01
CEBPG	0.425	3.353e-01	1.058	0.445	0.368	2.242e-01
ZNF574	0.823	2.054e-01	0.485	0.443	0.369	2.249e-01
ATF2	-0.422	6.635e-01	-0.055	0.651	0.370	2.275e-01
TAFII	1.054	1.460e-01	-0.193	0.450	0.371	2.295e-01
ZNF343	0.911	1.811e-01	0.061	0.450	0.371	2.295e-01
LMTK3	0.263	3.962e-01	0.983	0.451	0.372	2.302e-01
CRY1	0.537	2.958e-01	1.653	0.429	0.373	2.322e-01
MYCN	0.732	2.320e-01	0.849	0.438	0.373	2.322e-01
TAF7	0.203	4.194e-01	-0.605	0.586	0.373	2.322e-01
DDX20	0.869	1.924e-01	0.972	0.431	0.375	2.369e-01
ERCC2	0.525	2.999e-01	1.683	0.428	0.375	2.369e-01
ZNF100	0.680	2.483e-01	0.032	0.458	0.376	2.390e-01
ZNF24	0.959	1.688e-01	0.539	0.433	0.376	2.390e-01
XRN2	1.332	9.141e-02	-0.650	0.453	0.378	2.410e-01
ZNF346	0.950	1.712e-01	0.420	0.436	0.378	2.417e-01
RXRA	-0.325	6.274e-01	-0.228	0.596	0.380	2.452e-01
STAT4	-0.329	6.290e-01	0.554	0.484	0.381	2.466e-01
KDM2B	1.065	1.435e-01	-0.516	0.456	0.381	2.473e-01
SOX13	0.765	2.221e-01	0.955	0.432	0.381	2.479e-01
ZNF501	0.909	1.816e-01	0.255	0.439	0.383	2.507e-01
TBP	0.306	3.799e-01	-0.905	0.590	0.385	2.542e-01
BIRA	0.044	4.825e-01	0.993	0.451	0.385	2.549e-01
EGR1	0.277	3.908e-01	-0.844	0.584	0.386	2.563e-01
MYNN	0.512	3.043e-01	0.713	0.441	0.386	2.578e-01
KLF9	0.664	2.534e-01	-0.691	0.488	0.387	2.592e-01
MECP2	0.719	2.361e-01	-0.222	0.460	0.388	2.606e-01
ZNF765	0.545	2.929e-01	1.278	0.429	0.389	2.627e-01
MEF2B	-0.224	5.886e-01	0.576	0.472	0.389	2.634e-01
ZBTB14	0.892	1.862e-01	-0.078	0.448	0.390	2.649e-01
ZNF823	0.409	3.412e-01	1.837	0.424	0.391	2.670e-01
LDB1	0.464	3.214e-01	1.578	0.426	0.394	2.713e-01
SUMO2	-0.006	5.024e-01	0.832	0.453	0.395	2.742e-01
BRD9	0.604	2.729e-01	1.096	0.427	0.398	2.801e-01
TCF7L1	0.107	4.573e-01	0.478	0.454	0.399	2.815e-01
ZNF414	0.819	2.064e-01	0.212	0.439	0.399	2.815e-01
ZNF136	0.463	3.216e-01	1.475	0.426	0.399	2.830e-01
ZNF440	0.446	3.278e-01	1.520	0.425	0.401	2.852e-01
PCGF2	0.665	2.531e-01	0.920	0.428	0.401	2.867e-01
ZNF618	0.633	2.632e-01	0.697	0.433	0.403	2.904e-01
ZC3H8	0.700	2.418e-01	0.567	0.432	0.404	2.911e-01
IRF9	0.564	2.865e-01	1.237	0.424	0.404	2.926e-01
ZNF580	0.809	2.092e-01	0.471	0.430	0.406	2.956e-01
INTS3	0.535	2.965e-01	0.920	0.429	0.406	2.963e-01
PRDM11	0.335	3.687e-01	-0.162	0.463	0.406	2.963e-01
PBX2	0.405	3.426e-01	0.609	0.439	0.409	3.016e-01
ZFP69B	0.820	2.061e-01	0.183	0.436	0.409	3.023e-01
ZSCAN22	1.022	1.535e-01	-0.434	0.444	0.409	3.023e-01
NKX3-1	0.365	3.576e-01	1.390	0.426	0.410	3.046e-01
TIAM1	0.615	2.694e-01	0.596	0.432	0.410	3.046e-01
ZNF101	0.431	3.332e-01	1.033	0.428	0.411	3.061e-01
HNF1A	0.628	2.651e-01	0.813	0.427	0.412	3.084e-01
ZBTB7A	0.713	2.380e-01	-0.614	0.462	0.412	3.084e-01
JUN	-0.972	8.345e-01	-0.077	0.607	0.414	3.114e-01
GPS2	0.661	2.542e-01	0.400	0.434	0.415	3.137e-01
ZXDB	0.866	1.931e-01	0.159	0.432	0.415	3.145e-01
TCF7	0.296	3.835e-01	0.985	0.431	0.418	3.214e-01
ZNF783	0.818	2.066e-01	-0.212	0.443	0.418	3.214e-01
GCSAM	0.256	3.990e-01	1.808	0.417	0.421	3.260e-01
FOXP1	-0.771	7.795e-01	-0.273	0.570	0.421	3.268e-01
BAHD1	-0.803	7.892e-01	0.820	0.470	0.422	3.283e-01
POLR2H	0.740	2.296e-01	0.322	0.429	0.422	3.283e-01
ZNF697	0.147	4.416e-01	0.913	0.435	0.424	3.322e-01
AFF1	0.009	4.965e-01	-0.464	0.485	0.426	3.377e-01
ZNF573	0.333	3.696e-01	1.387	0.420	0.428	3.408e-01
ZNF76	0.527	2.991e-01	-0.444	0.454	0.428	3.408e-01
ZBTB26	0.827	2.042e-01	-0.101	0.435	0.428	3.416e-01
HIC1	0.689	2.454e-01	0.244	0.430	0.429	3.439e-01
BRD2	0.178	4.295e-01	-1.071	0.519	0.430	3.447e-01
ZNF84	0.399	3.448e-01	1.011	0.423	0.430	3.455e-01
PTTG1	0.394	3.467e-01	1.196	0.420	0.430	3.463e-01
OGT	0.654	2.565e-01	-0.653	0.458	0.431	3.487e-01
RUNX2	0.038	4.847e-01	0.756	0.438	0.433	3.518e-01
THAP11	0.677	2.493e-01	0.019	0.435	0.433	3.526e-01
BATF	-0.439	6.697e-01	0.221	0.468	0.437	3.598e-01
ERCC6	0.223	4.117e-01	0.221	0.441	0.439	3.637e-01
FOXO3	0.138	4.451e-01	-0.072	0.452	0.439	3.653e-01
H3F3B	0.281	3.894e-01	1.346	0.418	0.440	3.661e-01
SUZ12	-0.309	6.214e-01	-0.250	0.479	0.440	3.677e-01
TFDP1	0.663	2.535e-01	-0.454	0.447	0.441	3.693e-01
CBX1	0.518	3.023e-01	-0.082	0.439	0.441	3.701e-01
KMT2B	0.448	3.272e-01	0.621	0.425	0.441	3.701e-01
CLOCK	-0.026	5.105e-01	0.500	0.441	0.443	3.726e-01
